The printer needs paper.	Der Drucker braucht Papier.
He ripped his shirt open.	Er riss sein Hemd auf.
He robbed me of my purse.	Er beraubte mich meines Geldbeutels.
He said his name was Tom.	Er sagte, er heiße Tom.
He saved himself somehow.	Irgendwie rettete er sich.
He says he likes flowers.	Er sagt, dass er Blumen liebt.
He says he met my father.	Er sagt, er habe meinen Vater getroffen.
He says he met my father.	Er sagt, dass er meinen Vater getroffen hat.
He seemed really nervous.	Er machte wirklich einen nervösen Eindruck.
He seemed really nervous.	Er schien überaus nervös zu sein.
He seems as busy as ever.	Er scheint so beschäftigt wie immer zu sein.
He seldom goes to church.	Er geht selten in die Kirche.
He set his house on fire.	Er steckte sein Haus in Brand.
He shooed the flies away.	Er verscheuchte die Fliegen.
He showed me her picture.	Er zeigte mir ihr Bild.
He showed me his new car.	Er zeigte mir sein neues Auto.
He slammed his door shut.	Er schlug seine Tür zu.
He slammed his door shut.	Er knallte seine Tür zu.
He slept well last night.	Er hat letzte Nacht gut geschlafen.
He slept well last night.	Letzte Nacht hat er gut geschlafen.
He speaks five languages.	Er spricht fünf Sprachen.
He speaks four languages.	Er spricht vier Sprachen.
He spends too much money.	Er gibt zu viel Geld aus.
He spoke well of her son.	Er sprach gut über ihren Sohn.
He spoke well of her son.	Er sagte Gutes über ihren Sohn.
He studies day and night.	Er studiert Tag und Nacht.
He succeeded in business.	Er war geschäftlich erfolgreich.
He suffered great losses.	Er erlitt große Verluste.
He swam across the river.	Er schwamm über den Fluss.
He taught himself French.	Er hat sich selbst Französisch beigebracht.
He taught himself French.	Er brachte sich selbst Französisch bei.
He taught me how to swim.	Er brachte mir Schwimmen bei.
He taught me how to swim.	Er hat mir das Schwimmen beigebracht.
He threw the banana away.	Er warf die Banane weg.
He told us to keep quiet.	Er sagte, wir sollen den Mund halten.
He took a taxi both ways.	Er nahm hin und zurück ein Taxi.
He took off his overcoat.	Er zog seinen Überzieher aus.
He took out his passport.	Er holte seinen Pass heraus.
He treats me as an adult.	Er behandelt mich wie einen Erwachsenen.
He tried to get up early.	Er versuchte, früh aufzustehen.
He tried to kill himself.	Er versuchte sich zu töten.
He tried to kill himself.	Er versuchte Selbstmord zu begehen.
He tried to kill himself.	Er versuchte sich selbst zu töten.
He used to be a nice boy.	Er war ein netter Junge.
He used to be a nice boy.	Früher war er ein netter Junge.
He used to read at night.	Er hatte die Angewohnheit, nachts zu lesen.
He usually comes in time.	Er kommt gewöhnlich pünktlich.
He waited until she came.	Er wartete, bis sie gekommen war.
He wants to be different.	Er möchte anders sein.
He wants to come with us.	Er möchte mit uns kommen.
He was accused of murder.	Er wurde des Mordes beschuldigt.
He was accused of murder.	Er wurde wegen Mordes angeklagt.
He was alone at the time.	Er war damals allein.
He was cleaning his room.	Er hat sein Zimmer sauber gemacht.
He was driven by revenge.	Er wurde von Rache getrieben.
He was easily influenced.	Er war leicht beeinflussbar.
He was easily influenced.	Er war leicht zu beeinflussen.
He was elected president.	Er ist zum Präsidenten gewählt worden.
He was every inch a king.	Er war jeder Zoll ein König.
He was given up for dead.	Er wurde für tot erklärt.
He was hanged for murder.	Er wurde wegen Mordes gehängt.
He was happy being a Jew.	Er war glücklich, ein Jude zu sein.
He was happy being a Jew.	Er war froh, Jude zu sein.
He was obviously in pain.	Er hatte offensichtlich Schmerzen.
He was paralyzed by fear.	Er war vor Angst gelähmt.
He was playing the piano.	Er spielte Klavier.
He was run over by a car.	Er wurde von einem Auto überfahren.
He was small, but strong.	Er war klein, aber stark.
He was the last to leave.	Er war der letzte, der ging.
He was there on business.	Er war geschäftlich dort.
He was very busy all day.	Er war den ganzen Tag sehr beschäftigt.
He was very kind to them.	Er war sehr freundlich zu ihnen.
He went aboard the plane.	Er ging an Bord des Flugzeugs.
He went to Boston by car.	Er fuhr mit dem Auto nach Boston.
He who hesitates is lost.	Wer zögert, ist verloren.
He will be back tomorrow.	Er wird morgen zurückkommen.
He will be free tomorrow.	Er wird morgen frei sein.
He will be free tomorrow.	Er wird morgen Zeit haben.
He will be free tomorrow.	Morgen wird er frei sein.
He will end up in prison.	Er wird im Gefängnis landen.
He will follow my advice.	Er wird meinem Rat folgen.
He will go in your place.	Er geht an deiner statt.
He will soon be a father.	Er wird bald Vater sein.
He won many competitions.	Er hat viele Wettbewerbe gewonnen.
He won't turn up tonight.	Er taucht heute Abend nicht mehr auf.
He wore a light blue tie.	Er trug eine hellblaue Krawatte.
He works as a translator.	Er arbeitet als Übersetzer.
He wrote a book on China.	Er hat ein Buch über China geschrieben.
He wrote a book on China.	Er schrieb ein Buch über China.
He wrote to me yesterday.	Er schrieb mir gestern.
He'd been in Kyoto twice.	Er war zweimal in Kyoto.
He'll be glad to see you.	Er wird sich freuen, dich zu sehen.
He'll be here any second.	Er müsste jeden Moment da sein.
He'll be here any second.	Er müsste jeden Moment kommen.
He's a cold-hearted jerk.	Er ist ein kaltherziger Blödmann.
He's a man of importance.	Er ist ein bedeutender Mann.
He's a powerful sorcerer.	Er ist ein mächtiger Zauberer.
He's a strange character.	Er ist ein seltsamer Mensch.
He's a strange character.	Er ist ein komischer Kauz.
He's a successful banker.	Er ist ein erfolgreicher Bankier.
He's a very talented man.	Er ist ein sehr talentierter Mann.
He's a volleyball player.	Er ist Volleyballspieler.
He's always dissatisfied.	Er ist ständig unzufrieden.
He's an African American.	Er ist Afroamerikaner.
He's ashamed of his body.	Er schämt sich seines Körpers.
He's at church right now.	Er ist gerade in der Kirche.
He's cruel and heartless.	Er ist grausam und herzlos.
He's feeling much better.	Er fühlt sich viel besser.
He's feeling much better.	Er fühlt sich schon viel besser.
He's feeling much better.	Es geht ihm schon viel besser.
He's feeling much better.	Es geht ihm schon besser.
He's here to protect you.	Er ist hier, um dich zu schützen.
He's here to protect you.	Er ist hier, um dich zu beschützen.
He's here to protect you.	Er ist zu deinem Schutz hier.
He's in a state of shock.	Er befindet sich in einem Schockzustand.
He's in bed with the flu.	Er liegt mit Grippe im Bett.
He's nervous and excited.	Er ist nervös und aufgeregt.
He's not sure he's ready.	Er ist sich nicht sicher, ob er bereit ist.
He's not very good at it.	Er kann das nicht so gut.
He's now aboard the ship.	Er ist jetzt an Bord des Schiffes.
He's often late for work.	Er kommt oft zu spät zur Arbeit.
He's our English teacher.	Er ist unser Englischlehrer.
He's pathetic and stupid.	Er ist eine Jammergestalt und ein Holzkopf.
He's reading a novel now.	Er liest gerade einen Roman.
He's really good looking.	Er sieht wirklich gut aus.
He's the love of my life.	Er ist die Liebe meines Lebens.
He's very angry with you.	Er ist dir sehr böse.
He's very likely to come.	Er wird höchstwahrscheinlich kommen.
He's young and energetic.	Er ist jung und tatkräftig.
Heat is a form of energy.	Wärme ist eine Energieform.
Help me with my homework.	Hilf mir bei meiner Hausaufgabe.
Her answer was incorrect.	Ihre Antwort war nicht richtig.
Her answer was incorrect.	Ihre Antwort war falsch.
Her boyfriend is Turkish.	Ihr Freund ist ein Türke.
Her face beamed with joy.	Ihr Gesicht strahlte vor Freude.
Her family is very large.	Ihre Familie ist sehr groß.
Her hair is turning gray.	Ihr Haar wird grau.
Her house is very modern.	Ihr Haus ist sehr modern.
Her silence surprised me.	Ihr Schweigen überraschte mich.
Her speech was excellent.	Ihre Rede war großartig.
Here is a letter for you.	Hier ist ein Brief für dich.
Here is a letter for you.	Hier ist ein Brief für Sie.
Here is a letter for you.	Hier ist ein Brief für euch.
Here's my account number.	Hier ist meine Kontonummer.
Hey, where are you going?	He! Wo willst du hin?
Hey, you can't leave now.	Hör mal, du kannst doch jetzt noch nicht gehen!
His English is excellent.	Sein Englisch ist exzellent.
His alibi seemed perfect.	Sein Alibi schien perfekt zu sein.
His car is gaining on us.	Sein Auto holt langsam auf.
His car is two years old.	Sein Wagen ist zwei Jahre alt.
His debts were piling up.	Seine Schulden häuften sich.
His efforts were in vain.	Seine Anstrengungen waren umsonst.
His efforts were in vain.	Seine Anstrengungen waren vergebens.
His family is very large.	Seine Familie ist sehr groß.
His father calls him Tom.	Sein Vater nennt ihn Tom.
His house is very modern.	Sein Haus ist sehr modern.
His house was burnt down.	Sein Haus wurde niedergebrannt.
His mother picked him up.	Seine Mutter holte ihn ab.
His name headed the list.	Sein Name führte die Liste an.
His name sounds familiar.	Seine Name klingt vertraut.
His parents were farmers.	Seine Eltern waren Bauern.
His patience is worn out.	Er ist mit seiner Geduld am Ende.
His popularity is waning.	Seine Popularität schwindet.
His silence surprised me.	Sein Schweigen hat mich überrascht.
His speech was too short.	Seine Rede war zu kurz.
His story sounds strange.	Seine Geschichte klingt seltsam.
His work is now complete.	Seine Arbeit ist jetzt vollendet.
Hold on a minute, please.	Einen Moment, bitte.
Hold on a moment, please.	Bitte warten Sie einen Moment.
Hold your breath, please.	Halten Sie mal den Atem an.
Horses sleep standing up.	Pferde schlafen im Stehen.
How about a cup of cocoa?	Hättest du Lust auf eine Tasse Kakao?
How about going swimming?	Wie wäre es, schwimmen zu gehen?
How about tomorrow night?	Wie steht's mit morgen Abend?
How about tomorrow night?	Wie wäre es mit morgen Nacht?
How am I supposed to eat?	Wie soll ich essen?
How are we feeling today?	Wie geht es uns denn heute?
How badly do you want it?	Wie sehr willst du es?
How can I ever repay you?	Wie kann ich das je wiedergutmachen?
How can I get rid of him?	Wie kann ich ihn loswerden?
How can this be possible?	Wie ist das möglich?
How close are you to Tom?	Wie nahe stehst du Tom?
How close are you to Tom?	Wie nahe steht ihr Tom?
How close are you to Tom?	Wie nahe stehen Sie Tom?
How come the sky is blue?	Warum ist der Himmel blau?
How come you didn't come?	Wie kommt’s, dass du nicht gekommen bist?
How dare you laugh at me!	Wie kannst du es wagen, dich über mich lustig zu machen?
How did Tom pay the rent?	Wie hat Tom die Miete bezahlt?
How did he take the news?	Wie hat er die Nachricht verkraftet?
How did the rehearsal go?	Wie lief die Probe?
How did they manage that?	Wie haben die das hingekriegt?
How did you achieve that?	Wie hast du das geschafft?
How did you and Tom meet?	Wie habt du und Tom euch kennengelernt?
How did you and Tom meet?	Wie haben Sie und Tom sich kennengelernt?
How did you convince Tom?	Wie hast du Tom rumgekriegt?
How did you get so dirty?	Wie bist du so schmutzig geworden?
How did you get up there?	Wie bist du dort hinaufgekommen?
How did you guys find me?	Wie habt ihr mich gefunden?
How did you know my name?	Wie hast du meinen Namen erfahren?
How did you know my name?	Wie haben Sie meinen Namen erfahren?
How did you know my name?	Wie habt ihr meinen Namen erfahren?
How did you learn French?	Wie hast du Französisch gelernt?
How did you open the box?	Wie hast du die Box geöffnet?
How do I get out of here?	Wie komme ich hier heraus?
How do we get rid of Tom?	Wie werden wir Tom los?
How do you feel about it?	Wie empfinden Sie darüber?
How do you feel about it?	Wie geht es dir damit?
How do you feel about it?	Wie geht es Ihnen damit?
How do you feel about it?	Wie geht es euch damit?
How do you get to school?	Wie kommst du zur Schule?
How do you handle stress?	Wie gehst du mit Stress um?
How do you know all this?	Woher weißt du das alles?
How do you like New York?	Wie gefällt dir New York?
How do you plan to do it?	Wie willst du das anstellen?
How do you plan to do it?	Wie wollt ihr das anstellen?
How do you plan to do it?	Wie wollen Sie das anstellen?
How does that strike you?	Welchen Eindruck macht das auf dich?
How does this soup taste?	Wie schmeckt diese Suppe?
How far do we have to go?	Wie weit müssen wir gehen?
How fast was Tom driving?	Wie schnell fuhr Tom?
How is life treating you?	Na, was macht dein Leben so?
How is the weather there?	Wie ist das Wetter dort?
How is the weather today?	Wie ist das Wetter heute?
How is your family doing?	Wie geht es Ihrer Familie?
How large is your family?	Wie groß ist deine Familie?
How long do we stop here?	Wie lange halten wir hier?
How long have you waited?	Wie lange hast du gewartet?
How long have you waited?	Wie lange habt ihr gewartet?
How long have you waited?	Wie lange haben Sie gewartet?
How long may I keep this?	Wie lange kann ich das behalten?
How long's Tom been sick?	Wie lange ist Tom schon krank?
How many CDs do you have?	Wie viele CD's hast du?
How many caps do you own?	Wie viele Mützen besitzt du?
How many kinds are there?	Wie viele Sorten gibt es?
How many teams are there?	Wie viele Mannschaften gibt es?
How much are the oranges?	Was kosten die Apfelsinen?
How much are these shoes?	Was kosten diese Schuhe?
How much do you like Tom?	Wie sehr magst du Tom?
How much do you like Tom?	Wie sehr mögen Sie Tom?
How much for half a kilo?	Wie viel kostet ein halbes Kilo?
How much is the bus fare?	Wie viel kostet eine Busfahrkarte?
How much is this T-shirt?	Was kostet dieses T-Shirt?
How much rent do you pay?	Wie viel Miete zahlst du?
How much should they get?	Wie viel sollten sie bekommen?
How much time has passed?	Wie viel Zeit ist vergangen?
How often do you eat out?	Wie oft gehst du essen?
How often do you eat out?	Wie oft geht ihr essen?
How often do you eat out?	Wie oft gehen Sie essen?
How often do you see her?	Wie oft siehst du sie?
How often do you see him?	Wie oft siehst du ihn?
How old is this airplane?	Wie alt ist dieses Flugzeug?
How old is your daughter?	Wie alt ist Ihre Tochter?
How old is your daughter?	Wie alt ist eure Tochter?
